Start Time (s),Text
4763.719,adversaries we don't often think about
4766.639,allies think about our team maybe not
4769.679,like allies allies adversaries
4773.4,recruitable so adversaries I don't need
4775.76,to tell you who those are how do I
4778.4,identify them allies I'm not going to
4780.36,spend time on them so I think you
4782.8,probably have a sense
4786.239,recruiters so in one of my
4789.08,roles I did my best in all the early
4792.0,listening you got to know this team this
4793.719,team this team who did people whine
4795.48,about on my
4797.32,team and who did I think whin about our
4799.88,team or didn't like our
4802.8,team and who did we need that
4806.76,intersection are the
4809.44,recruitable who can you bring
4812.12,over so this is
4814.36,delicate it's why it's later
4816.88,here I would argue if you aren't like a
4820.159,seasoned Navigator of organizational
4822.48,politics this is a good time to lean on
4825.4,your mentors and advisers but in that
4827.36,new role you're going to need to learn
4829.0,how to do this and then this is to go
4832.32,talk to the
4835.28,recres and potentially recruit them
4839.32,there is one organization I was at I
4840.88,came up with a stakeholder map and
4842.28,without labeling them recruit bles I
4844.28,just put a question mark in that column
4847.159,I showed it to my
4849.32,boss and like that whole column he had
4852.88,the same reaction he was like they don't
4855.32,like us I like hm do you think they talk
4858.56,to me I don't know you're
4861.719,new cool are you okay if I go talk to
4864.159,them can't
4866.199,hurt so I
4868.56,did and you know what I said hey I'm new
4871.639,here it's the best opener you ever moved
4875.12,to a new
4876.12,town New City new place come to a new
4880.159,conference how many of you is first time
4882.08,at
4882.8,bsides cool oh my my gosh amazing
4887.88,welcome you're sitting standing next to
4890.159,somebody easy it's my first conference
4893.08,have you been here
4894.28,before what are they going to say yes
4897.719,cool me too no great what should I
4903.32,know I did the same thing I'm new here
4906.719,surprise surprise sometimes people be
4908.239,like me
4909.199,too oh good so you don't have the world
4912.84,organizational [ __ ] and neither do I
4915.12,and if they weren't I would say tell me
4916.6,what I should know about my
4919.04,team most people were surprised by that
4922.4,they thought I was coming over to like
4924.08,prove something I'm part of the new
4926.8,team and the new role too I said no I
4929.32,have a new role remember I told you was
4930.8,very open about it new role just created
4933.28,and on that team what should I know
4935.04,about it what's the history between our
4937.32,teams
4939.08,woo now it's your turn can you be candid
4942.92,because if you person who I'm talking to
4945.04,don't take this opportunity to try and
4946.88,repair and mend these relationships that
4948.88,is now on
4950.199,you so that you don't know what you
4952.28,don't know I put that back on them I
4954.0,don't know what I should know help me
4955.8,understand it's us against the
4957.199,adversaries so what should I
4962.44,know so this goes back to the customers
4964.8,and stakeholders who's going to gain
4966.84,from this new role you might be
4969.4,surprised it's not going to be people
4970.92,necessarily in the immediate
4972.639,orbit for example there's one I came in
4976.08,and I was going to be speaking to the
4977.4,media and Industry and whatever else and
4980.199,no one had linked me up with the
4981.44,marketing people but I wanted the
4982.48,marketing people they're like what
4983.88,you're here great awesome can we talk to
4986.32,you can you help us and I was like yes
4987.8,help me understand this and but no one
4990.28,had thought to make that link no
4991.84,indictment of the organization but it
4993.679,just no one knew really what this role
4995.56,was going to be so they didn't know who
4996.6,was going to gain from it and then
4999.239,occasionally and it's a really wonderful
5001.239,thing you will find people who have been
5003.0,waiting for you
5006.6,and sometimes you might be that person
5008.36,and a new rule comes in and you'll be
5009.8,like we've been waiting for
5011.76,you here's a stack of work and also can
5014.92,you help with this and oh you have that
5016.36,skill
5018.28,set oh great we've been waiting for
5022.8,you and then the last
5026.04,one ask this
5028.76,question and listen with
5031.48,empathy because if you listen
5034.56,with your hackles raised then you will
5036.96,become an invasive
5038.719,species who wants and needs you to
5042.96,fail who needs you to fail in this new
5047.76,role it does not mean they're going to
5050.36,try and get you to
5054.0,fail but understanding
5056.48,that that's a potential
5059.199,recruitable and as well it will tell you
5061.52,a ton about organizational Dynamics
5064.88,maybe that person used to be a pirate
5068.12,unicorn and they got this has happened I
5070.56,don't know why I'm saying
5074.52,maybe I sensed some part of the
5078.159,environment just
5079.76,like focus on me kind of like this I was
5084.36,like hey hey like that's how I felt like
5087.48,I was greeted all the time or and people
5090.239,would say their name be like this person
5093.76,oh [ __ ]
5096.96,and I
5098.08,learned again aggressive curiosity
5100.52,empathy
5101.6,humility that that person used to be a
5103.76,pirate
5105.04,unicorn and it didn't
5107.119,work so they got put into this box
5111.679,man so
5114.48,they
5116.0,didn't want me to
5119.08,succeed because if I succeeded then what
5121.56,did that mean about them not about the
5123.92,organization in the existence of pirate
5127.04,unicorns man what a humbling moment that
5130.199,was when I had that
5132.199,realization and it was months and I say
5135.36,months because maybe months isn't a long
5136.76,time but in this case it was a long time
5138.28,before I could talk to them about it
5140.04,because it was disclosed to me not in
5141.6,the best
5143.4,way finally had the
5145.639,opportunity and then that person became
5148.6,such a huge
5149.92,supporter guests who opened up their
5152.199,book of lessons and an does and proof of
5155.76,Concepts and
5158.92,relationships and we became like a great
5163.28,teammate so I asked that question not to
5166.119,say spot the snipers who wants and needs
5169.04,you to
5170.159,fail but it will tell you a lot about
5172.199,organizational dynamics that had nothing
5173.76,to do with that individual and
5174.96,everything to do about the environment
5176.36,that we were in okay so last thing I've
5179.199,heaped a bunch of things on you some
5182.679,questions thanks Manisha kind of
5185.28,helpful I give you some very tactical
5187.44,advice and I have given this to many
5191.6,many people I take it
5193.199,myself one of the most crucial things in
5196.52,the new
5197.679,rule is figuring out what success is
5200.08,going to look
5202.76,like some organizations are terrible at
5206.88,defining
5209.56,success I don't mean just having
5212.4,kpis I mean measuring
5215.119,progress and again if it hasn't been
5217.239,done before how do we figure that
5220.4,out so here's the good news there's a
5224.32,lot of pirate unicorns out there awesome
5226.199,if you're just walking this talk and
5227.159,hearing about pirate unicorns come on in
5229.44,there's a lot of pirate unicorns out
5230.84,there
5233.88,and you don't have to reinvent that so
5237.84,there's a book that I recommend to just
5239.56,about everybody I read it myself when I
5242.0,start a new job it's called The First 90
5243.679,days
5245.36,and the focus of this is there's
5247.52,different models of what kind of role
5249.52,you're coming into startup a turnaround
5252.6,accelerator realignment sustaining
5255.6,success it's about diagnosing what
5258.159,you're coming
5259.28,into and building a learning agenda for
5261.92,your first 90 days now this book one
5264.56,caveat don't read it cover to cover it's
5266.76,a guide book it's a Choose Your Own
5268.28,Adventure sometimes you're going to come
5269.719,up it's going to be one kind of thing
5271.0,you're going to focus on that another
5272.679,time I have reread reread this book
5274.88,every time I start a new role and if
5276.679,you're a mentor by the way and you have
5278.679,proteges this is a great gift when they
5281.119,get that job here read this book A lot
5284.639,of the things I've talked about are
5286.52,captured in here not everything because
5288.92,it's not all the Nuance of the new role
5290.679,the stuff I was sharing with you but a
5292.679,lot of it is captured in here otherwise
5294.6,I would have had to come up with this
5295.52,whole rubric but a lot of what I figured
5297.639,out and how to put together when I found
5298.92,this book I was like oh yes I tried that
5300.4,but that's way better oh I did that but
5301.88,that's back by research oh I did that
5303.36,but here's a Pro an example in
5305.88,business not just security so I realize
5309.639,I am right up on time and I didn't leave
5311.6,room for any
5312.8,questions all we have a few minutes
5315.08,right for questions two three
5318.239,great sorry I meant to leave so much
5320.36,more time thank
5323.119,you pirate
5329.679,unicorns okay cool if you have questions
5332.119,put your hands up I'm going to take a
5333.119,few at a time maybe we can put
5335.6,together yes
5340.719,question say that again what if you're
5343.28,not
5344.679,the rest got it what if you're not new
5347.639,to the role and trying to restart things
5349.159,other question
5357.639,yeah oh
5359.639,good okay so you're hiring a pirate
5362.44,unicorn all right so so restart and then
5365.36,hiring a pirate unicorn one other
5366.679,question
5374.56,yeah like a new initiative kind
5381.76,of yeah I'm going to repeat back the
5383.679,question that's say it
5388.04,again
5390.0,yes got
5392.56,it got it okay okay so trying to create
5395.48,trying to create space for a pirate
5396.639,unicorn you've hired a pirate unicorn
5398.48,now how do you have them succeed and
5400.56,you're trying to restart something it's
5402.28,not necessarily a new
5403.8,role I would
5407.52,say okay I would say treat it like a new
5411.08,role you're going to find some people
5413.96,who are there but that same skepticism
5416.0,is going to be there I mean tilt heavier
5418.04,on the see you as an invasive species
5420.199,and a predator that's what I would say
5423.0,but all the things I put up there in
5424.56,terms of or talked about in terms of
5426.6,like curiosity and humility I think are
5429.08,really important
5431.159,um I would share the knowledge that you
5434.239,have that this is not new I understood
5436.56,that someone has tried to do this before
5439.04,what do you think are some of the key
5440.44,lessons that they learned or they should
5442.08,have learned or what do you wish they
5443.92,did
5444.76,earlier you know like come to the
5447.04,organization come to people with that in
5449.159,terms of yourself try and get all the
5451.119,materials anything what list were they
5453.679,on whose team were they on what function
5455.44,did they report to cuz as much as you
5457.96,can understand about that previous role
5460.8,you can then calibrate the lessons that
5463.119,you get from them that makes sense um
5465.92,these two so how do you set up someone
5468.159,for Success when you come in and how do
5469.76,you what are the next steps if you
5471.159,identify that there's a Nexus of those
5474.44,needs so these two are connected figure
5477.52,out what the story
5479.239,is timing timing timing timing is key
5483.28,figure out what the story story is and
5484.92,find people who are going to be there
5486.52,advocating for that person when they
5488.119,come in so it's the sponsor 100%
5491.36,someone's going to need to put down
5493.04,we're in Vegas someone's got to bankroll
5494.679,you someone's got to put down that
5496.44,political capital and that
5497.4,organizational Capital but then you need
5499.239,a bunch of people around who're going to
5500.8,advocate for them get them into rooms be
5502.719,prepared to partner with
5505.88,them and be ready to to hear the the
5509.8,kind of story so that when they come in
5511.44,they don't have to do a lot of that
5512.84,communication oh yeah I heard about your
5514.719,role you're going to be doing this
5516.199,you're on this
5517.28,team so it sounds weird but minimize as
5519.92,much of the newness as
5521.8,possible because then people are like
5523.6,okay the rule is new but that idea has
5526.119,been here or oh gez the senior person
5529.36,said they they from their standpoint
5531.679,they see a real pain point or we had
5533.32,this incident this thing happened people
5535.88,don't know that people don't know that's
5537.56,what triggered this we had an audit
5540.04,we're under consent decree crowd strike
5543.48,whatever it
5545.119,is cool I want to be respectful of time
5547.84,I'm happy to answer some more questions
5549.679,I'm going to I one more question okay I
5552.679,can take one more question you got a
5554.199,burning one otherwise oh yeah right here
5557.08,not really com I've been consult
5584.6,thank you I I'll just repeat briefly
5586.52,although it's a compliment I that means
5589.0,a lot uh person here as a consultant and
5591.8,said I do this kind of stuff every six
5593.92,months nine months and it could be used
5595.96,not just in a new role a new initiative
5597.56,just asking those questions and coming
5598.88,to the organization are very fruitful um
5601.36,I'm going to grab a mask and then
5602.96,Christen sh I'll just step right outside
5605.239,over there happy to answer any questions
5607.6,quick plug at 3:00 today I'm going to be
5609.679,doing a workshop on how to read
5611.32,organizational culture from the outside
5613.44,in and I'd love for you to be there
5615.6,thank you so

